Party,User,Hashtag
PP,Diime_isaac,IsaacAcosta
PP,calajoss,GoogleAlerts
PP,Retiario,PPcontraPP
PP,MercheAlhaurin,Fiesta
PP,MercheAlhaurin,Naranja
PP,MercheAlhaurin,Coin
PP,Diime_isaac,IsaacAcosta
PP,Andrea_Trebol,SalDelBipartidismo
PP,Andrea_Trebol,bipartidismo
PP,Andrea_Trebol,PP
PP,Andrea_Trebol,PSOE
PP,Andrea_Trebol,PPSOE
PP,Andrea_Trebol,Elecciones
PP,Andrea_Trebol,Voto
PP,SabiaLoca,MeMeo
PP,SabiaLoca,SoisLaPolla
PP,parrouro,EspazoLuzes
PP,Diime_isaac,IsaacAcosta
PP,jfelipesantiago,fiscal
PP,Diime_isaac,IsaacAcosta
PP,MARIAPILAR66,CIS
PP,Miguelfontanero,Rajoy
PP,Miguelfontanero,PP
PP,Edumartin7,PPcontraPP
PP,Diime_isaac,IsaacAcosta
PP,Jose_Anngel,DesdeMurciaConHumor
PP,RufiRodrguez,ProtestasM4
PP,Pp_narvaez,Reformasparalatransformaciondelcampo
PP,Pp_narvaez,Tuzoforum
PP,Diime_isaac,IsaacAcosta
PP,Diime_isaac,IsaacAcosta
PP,rcurcoll,crispación
PP,Jseburns,FAN
PP,Diime_isaac,IsaacAcosta
PP,Diime_isaac,IsaacAcosta
PP,KakoBarreras,PPcontraPP
PP,Diime_isaac,IsaacAcosta
PP,BeyonSesa,PPcontraPP
PP,CharoGrandes,Subnormales
PP,CharoGrandes,Podemos
PP,saraibas,PPcontraPP
PP,ab_manrique,PPcontraPP
PP,LaiHartadeto,PPcontraPP
PP,Diime_isaac,IsaacAcosta
PP,mmadrigal,socialmedia
PP,NeusVichSalas,GoogleAlerts
PP,martuniki,socialmedia
PP,Rever_,crispación
PP,pgrdg66,LeyGC
PP,snooous,MeMeo
PP,snooous,SoisLaPolla
PP,danibolly,PPcontraPP
PP,Kaesar14,crispación
PP,senormunoz,socialmedia
PP,pilarbego,PPcontraPP
PP,chlodemri,pp
PP,angeltorrecill1,somos15M
PP,angeltorrecill1,SiSePuede
PP,angeltorrecill1,elpoderdelagente
PP,marcsagrista,crispación
